Frequentie (Hz)	Geluidsniveau (dB)
62,500000	-43,761532
125,000000	-37,938042
187,500000	-38,261200
250,000000	-33,568901
312,500000	-36,035275
375,000000	-34,129498
437,500000	-34,946049
500,000000	-32,244347
562,500000	-28,089062
625,000000	-23,356100
687,500000	-26,642986
750,000000	-25,612125
812,500000	-30,516697
875,000000	-32,709736
937,500000	-36,491295
1000,000000	-37,238213
1062,500000	-35,067429
1125,000000	-30,938589
1187,500000	-25,686127
1250,000000	-22,688915
1312,500000	-29,718449
1375,000000	-31,337090
1437,500000	-37,928295
1500,000000	-39,226219
1562,500000	-43,788128
1625,000000	-46,552120
1687,500000	-48,361076
1750,000000	-48,622513
1812,500000	-50,868649
1875,000000	-50,672195
1937,500000	-53,200336
2000,000000	-53,447662
2062,500000	-51,553745
2125,000000	-49,822029
2187,500000	-48,910534
2250,000000	-47,051353
2312,500000	-42,986935
2375,000000	-41,468945
2437,500000	-40,022076
2500,000000	-39,676594
2562,500000	-43,273773
2625,000000	-44,661339
2687,500000	-47,352238
2750,000000	-47,449490
2812,500000	-46,358009
2875,000000	-45,576977
2937,500000	-45,402733
3000,000000	-44,683289
3062,500000	-41,085636
3125,000000	-40,782677
3187,500000	-42,247173
3250,000000	-43,475750
3312,500000	-49,963997
3375,000000	-52,861156
3437,500000	-51,803783
3500,000000	-52,172367
3562,500000	-54,473934
3625,000000	-53,490997
3687,500000	-50,411732
3750,000000	-49,210945
3812,500000	-48,279404
3875,000000	-49,264587
3937,500000	-52,503933
4000,000000	-54,705685
4062,500000	-56,734463
4125,000000	-60,898140
4187,500000	-64,416573
4250,000000	-66,013443
4312,500000	-68,334457
4375,000000	-69,310501
4437,500000	-70,423431
4500,000000	-73,241119
4562,500000	-75,197525
4625,000000	-75,508873
4687,500000	-73,293198
4750,000000	-73,660202
4812,500000	-73,641510
4875,000000	-73,632210
4937,500000	-70,947304
5000,000000	-70,149818
5062,500000	-68,755074
5125,000000	-68,411301
5187,500000	-67,471146
5250,000000	-66,527275
5312,500000	-64,541275
5375,000000	-63,162369
5437,500000	-60,789959
5500,000000	-60,619530
5562,500000	-58,926945
5625,000000	-59,634136
5687,500000	-60,043079
5750,000000	-60,508858
5812,500000	-61,030003
5875,000000	-62,937366
5937,500000	-63,429928
6000,000000	-63,645199
6062,500000	-62,067337
6125,000000	-58,691696
6187,500000	-55,315449
6250,000000	-56,242016
6312,500000	-55,979362
6375,000000	-57,637066
6437,500000	-57,994812
6500,000000	-58,399796
6562,500000	-58,522671
6625,000000	-60,061043
6687,500000	-60,440018
6750,000000	-61,746315
6812,500000	-62,673866
6875,000000	-63,048336
6937,500000	-62,245216
7000,000000	-62,842590
7062,500000	-63,665276
7125,000000	-64,603050
7187,500000	-65,566086
7250,000000	-69,740196
7312,500000	-73,613693
7375,000000	-74,673576
7437,500000	-74,948372
7500,000000	-74,135529
7562,500000	-73,724686
7625,000000	-72,161537
7687,500000	-72,293289
7750,000000	-71,475533
7812,500000	-71,348221
7875,000000	-70,858345
7937,500000	-71,454620
8000,000000	-69,458321
8062,500000	-69,215340
8125,000000	-68,370842
8187,500000	-68,154549
8250,000000	-68,928665
8312,500000	-69,727531
8375,000000	-70,120659
8437,500000	-69,963188
8500,000000	-69,184120
8562,500000	-68,274216
8625,000000	-67,799080
8687,500000	-68,087433
8750,000000	-68,582687
8812,500000	-69,720688
8875,000000	-71,352821
8937,500000	-72,929260
9000,000000	-74,339149
9062,500000	-75,568130
9125,000000	-74,909592
9187,500000	-74,976784
9250,000000	-72,538445
9312,500000	-71,916740
9375,000000	-71,447311
9437,500000	-71,772003
9500,000000	-73,266228
9562,500000	-74,515015
9625,000000	-77,329628
9687,500000	-78,475876
9750,000000	-77,050446
9812,500000	-76,930565
9875,000000	-79,187447
9937,500000	-82,318825
10000,000000	-85,616699
10062,500000	-87,254776
10125,000000	-87,445572
10187,500000	-88,773300
10250,000000	-89,599136
10312,500000	-88,643646
10375,000000	-88,278542
10437,500000	-87,444992
10500,000000	-86,693268
10562,500000	-88,174393
10625,000000	-88,365990
10687,500000	-87,983948
10750,000000	-86,567635
10812,500000	-86,634895
10875,000000	-86,542984
10937,500000	-86,145638
11000,000000	-85,846031
11062,500000	-85,002007
11125,000000	-82,862259
11187,500000	-82,515121
11250,000000	-81,150970
11312,500000	-81,337036
11375,000000	-80,889503
11437,500000	-81,832260
11500,000000	-82,269905
11562,500000	-84,082397
11625,000000	-84,938194
11687,500000	-86,223228
11750,000000	-86,395683
11812,500000	-87,050934
11875,000000	-87,885529
11937,500000	-88,866455
12000,000000	-88,483459
12062,500000	-89,956985
12125,000000	-90,783562
12187,500000	-91,161812
12250,000000	-91,014259
12312,500000	-90,823845
12375,000000	-89,860458
12437,500000	-90,187645
12500,000000	-90,172745
12562,500000	-89,594833
12625,000000	-88,264038
12687,500000	-87,870163
12750,000000	-87,544212
12812,500000	-87,910324
12875,000000	-87,026024
12937,500000	-87,697433
13000,000000	-88,126656
13062,500000	-88,621239
13125,000000	-90,448761
13187,500000	-90,996361
13250,000000	-91,249153
13312,500000	-90,436157
13375,000000	-90,355507
13437,500000	-90,369812
13500,000000	-89,420425
13562,500000	-89,650726
13625,000000	-89,920982
13687,500000	-89,714539
13750,000000	-89,564163
13812,500000	-89,161392
13875,000000	-88,507133
13937,500000	-87,467400
14000,000000	-87,769417
14062,500000	-88,779762
14125,000000	-90,324989
14187,500000	-90,789581
14250,000000	-91,492561
14312,500000	-93,246613
14375,000000	-95,659378
14437,500000	-96,762466
14500,000000	-97,069008
14562,500000	-97,439285
14625,000000	-97,346191
14687,500000	-98,089745
14750,000000	-99,098114
14812,500000	-99,169022
14875,000000	-99,363731
14937,500000	-100,095963
15000,000000	-100,472618
15062,500000	-100,136650
15125,000000	-99,829163
15187,500000	-100,792801
15250,000000	-102,536278
15312,500000	-102,503983
15375,000000	-103,490883
15437,500000	-104,251839
15500,000000	-105,220230
15562,500000	-105,271400
15625,000000	-105,734718
15687,500000	-106,778313
15750,000000	-106,498764
15812,500000	-106,628044
15875,000000	-107,322052
15937,500000	-107,871567
